rank,resume_id,jd_id,job_role,final_score,skill_match,experience_relevance,education_alignment,semantic_similarity,weight_strategy,rating,recommendation,priority
142,Resume_1_Healthcare_Data_Analyst_Junior_skills,healthcare data analyst (junior)_parsed_jd,healthcare data analyst (junior),59.85,90,46,53,33,mid_level,Partial Fit,Review manually before deciding,Low
143,Resume_3_Healthcare_Reporting_Analyst_skills,Healthcare_Analytics_Consultant_parsed_jd,healthcare analytics consultant,59.85,90,56,53,18,default,Partial Fit,Review manually before deciding,Low
144,Resume_6_Data_Entry_Analyst_Healthcare_skills,Population_Health_Analyst_parsed_jd,population health analyst,59.8,82,78,34,13,default,Partial Fit,Review manually before deciding,Low
145,Resume_6_Data_Entry_Analyst_Healthcare_skills,Clinical_Research_Data_Analyst_parsed_jd,clinical research data analyst,59.7,82,77,34,14,mid_level,Partial Fit,Review manually before deciding,Low
146,Resume_6_Data_Entry_Analyst_Healthcare_skills,Genomics_Data_Analyst_parsed_jd,genomics data analyst,59.6,82,76,34,15,mid_level,Partial Fit,Review manually before deciding,Low
147,Resume_3_Healthcare_Reporting_Analyst_skills,Medical_Data_Analyst_parsed_jd,medical data analyst,59.55,90,59,53,12,mid_level,Partial Fit,Review manually before deciding,Low
148,Resume_6_Data_Entry_Analyst_Healthcare_skills,Health_Policy_Analyst_parsed_jd,health policy analyst,59.5,82,81,34,7,default,Partial Fit,Review manually before deciding,Low
149,Resume_6_Data_Entry_Analyst_Healthcare_skills,Revenue_Cycle_Data_Analyst_parsed_jd,revenue cycle data analyst,59.5,82,73,34,19,mid_level,Partial Fit,Review manually before deciding,Low
150,Resume_1_Healthcare_Data_Analyst_Junior_skills,Data_Entry_Analyst_Healthcare_parsed_jd,data entry analyst (healthcare),59.45,90,56,53,19,fresher,Partial Fit,Review manually before deciding,Low
151,Resume_3_Healthcare_Reporting_Analyst_skills,Public_Health_Analyst_parsed_jd,public health analyst,59.45,90,54,53,19,default,Partial Fit,Review manually before deciding,Low
152,Resume_3_Healthcare_Reporting_Analyst_skills,Data_Entry_Analyst_Healthcare_parsed_jd,data entry analyst (healthcare),59.35,90,63,53,15,fresher,Partial Fit,Review manually before deciding,Low
153,Resume_5_Health_Information_Analyst_skills,Healthcare_Data_Scientist_parsed_jd,healthcare data scientist,59.3,84,48,51,22,technical,Partial Fit,Review manually before deciding,Low
154,Resume_1_Healthcare_Data_Analyst_Junior_skills,Wearable_Health_Data_Analyst_parsed_jd,wearable health data analyst,59.25,90,52,53,21,mid_level,Partial Fit,Review manually before deciding,Low
155,Resume_6_Data_Entry_Analyst_Healthcare_skills,Clinical_Trials_Data_Manager_parsed_jd,clinical trials data manager,59.2,82,71,34,14,senior,Partial Fit,Review manually before deciding,Low
156,Resume_3_Healthcare_Reporting_Analyst_skills,Real-World Evidence (RWE) Analyst_parsed_jd,real world evidence (rwe) analyst,58.95,90,55,53,15,default,Partial Fit,Review manually before deciding,Low
157,Resume_5_Health_Information_Analyst_skills,Healthcare_Data_Integration_Specialist_parsed_jd,healthcare data integration specialist,58.95,84,53,51,30,default,Partial Fit,Review manually before deciding,Low
158,Resume_5_Health_Information_Analyst_skills,Health_Informatics_Specialist_parsed_jd,health informatics specialist,58.85,84,52,51,31,default,Partial Fit,Review manually before deciding,Low
159,Resume_3_Healthcare_Reporting_Analyst_skills,EHR_Data_Analyst_Electronic_Health_parsed_jd,ehr data analyst,58.75,90,57,53,11,mid_level,Partial Fit,Review manually before deciding,Low
160,Resume_3_Healthcare_Reporting_Analyst_skills,Revenue_Cycle_Data_Analyst_parsed_jd,revenue cycle data analyst,58.75,90,49,53,23,mid_level,Partial Fit,Review manually before deciding,Low
161,Resume_3_Healthcare_Reporting_Analyst_skills,Data_Analytics_Trainer_Healthcare_parsed_jd,data analytics trainer,58.65,90,44,53,30,default,Partial Fit,Review manually before deciding,Low
162,Resume_3_Healthcare_Reporting_Analyst_skills,ai specialist in healthcare analytics_parsed_jd,ai specialist in healthcare analytics,58.65,90,56,53,12,default,Partial Fit,Review manually before deciding,Low
163,Resume_6_Data_Entry_Analyst_Healthcare_skills,fraud_compliance_analyst_parsed_jd,fraud & compliance analyst,58.6,82,66,34,25,default,Partial Fit,Review manually before deciding,Low
164,Resume_3_Healthcare_Reporting_Analyst_skills,Health_Informatics_Specialist_parsed_jd,health informatics specialist,58.55,90,57,53,10,default,Partial Fit,Review manually before deciding,Low
165,Resume_6_Data_Entry_Analyst_Healthcare_skills,Clinical_Informatics_Analyst_parsed_jd,clinical informatics analyst,58.4,82,70,34,18,default,Partial Fit,Review manually before deciding,Low
166,Resume_3_Healthcare_Reporting_Analyst_skills,Health_Information_Analyst_parsed_jd,health information analyst,58.35,90,57,53,9,default,Partial Fit,Review manually before deciding,Low
167,Resume_1_Healthcare_Data_Analyst_Junior_skills,Senior_Healthcare_Data_Analyst_parsed_jd,senior healthcare data analyst,58.25,90,44,53,28,mid_level,Partial Fit,Review manually before deciding,Low
168,Resume_3_Healthcare_Reporting_Analyst_skills,Clinical_Research_Data_Analyst_parsed_jd,clinical research data analyst,58.25,90,54,53,13,mid_level,Partial Fit,Review manually before deciding,Low
169,Resume_6_Data_Entry_Analyst_Healthcare_skills,Data_Analytics_Trainer_Healthcare_parsed_jd,data analytics trainer,58.2,82,74,34,11,default,Partial Fit,Review manually before deciding,Low
170,Resume_6_Data_Entry_Analyst_Healthcare_skills,Epidemiology_Data_Analyst_parsed_jd,epidemiology data analyst,58.2,82,74,34,11,mid_level,Partial Fit,Review manually before deciding,Low
171,Resume_6_Data_Entry_Analyst_Healthcare_skills,Patient_Experience_Analyst_parsed_jd,patient experience analyst,58.2,82,72,34,14,default,Partial Fit,Review manually before deciding,Low
172,Resume_3_Healthcare_Reporting_Analyst_skills,Revenue_Cycle_Analyst_parsed_jd,revenue cycle data analyst,58.15,90,49,53,20,mid_level,Partial Fit,Review manually before deciding,Low
173,Resume_3_Healthcare_Reporting_Analyst_skills,Health_Information_Systems_Analyst_parsed_jd,health information systems analyst,58.05,90,56,53,9,default,Partial Fit,Review manually before deciding,Low
174,Resume_3_Healthcare_Reporting_Analyst_skills,Predictive_Analytics_Specialist_parsed_jd,predictive analytics specialist,57.95,90,57,53,7,default,Partial Fit,Review manually before deciding,Low
175,Resume_3_Healthcare_Reporting_Analyst_skills,Director_of_Healthcare_Analytics_parsed_jd,director of healthcare analytics,57.9,90,55,53,18,senior,Partial Fit,Review manually before deciding,Low
176,Amala_Resume_DS_DA_2026__skills,Clinical_Data_Scientist_parsed_jd,clinical data scientist,57.85,90,47,36,10,technical,Partial Fit,Review manually before deciding,Low
177,Resume_1_Healthcare_Data_Analyst_Junior_skills,Freelance_Healthcare_Data_Analyst_parsed_jd,freelance healthcare data analyst,57.85,90,40,53,32,mid_level,Partial Fit,Review manually before deciding,Low
178,Resume_1_Healthcare_Data_Analyst_Junior_skills,Healthcare_Data_Analyst_parsed_jd,healthcare data analyst,57.85,90,40,53,32,mid_level,Partial Fit,Review manually before deciding,Low
179,Resume_6_Data_Entry_Analyst_Healthcare_skills,Head_of_Health_Informatics_parsed_jd,head of health informatics,57.8,82,65,34,19,senior,Partial Fit,Review manually before deciding,Low
180,Resume_6_Data_Entry_Analyst_Healthcare_skills,Public_Health_Analyst_parsed_jd,public health analyst,57.8,82,74,34,9,default,Partial Fit,Review manually before deciding,Low
181,Resume_6_Data_Entry_Analyst_Healthcare_skills,Insurance_Claims_Analyst_parsed_jd,insurance claims analyst,57.7,82,65,34,22,default,Partial Fit,Review manually before deciding,Low
182,Resume_6_Data_Entry_Analyst_Healthcare_skills,Predictive_Analytics_Specialist_parsed_jd,predictive analytics specialist,57.7,82,77,34,4,default,Partial Fit,Review manually before deciding,Low
183,Resume_6_Data_Entry_Analyst_Healthcare_skills,Real-World Evidence (RWE) Analyst_parsed_jd,real world evidence (rwe) analyst,57.6,82,70,34,14,default,Partial Fit,Review manually before deciding,Low
184,Resume_3_Healthcare_Reporting_Analyst_skills,Clinical_Data_Analyst_parsed_jd,clinical data analyst,57.55,90,47,53,20,mid_level,Partial Fit,Review manually before deciding,Low
185,Amala_Resume_DS_DA_2026__skills,Data_Analytics_Trainer_Healthcare_parsed_jd,data analytics trainer,57.5,90,54,36,22,default,Partial Fit,Review manually before deciding,Low
186,Resume_1_Healthcare_Data_Analyst_Junior_skills,Healthcare_Dashboard_Developer_parsed_jd,healthcare dashboard developer,57.45,90,29,53,22,technical,Partial Fit,Review manually before deciding,Low
187,Resume_3_Healthcare_Reporting_Analyst_skills,Medical_Billing_Data_Analyst_parsed_jd,medical billing data analyst,57.45,90,52,53,12,mid_level,Partial Fit,Review manually before deciding,Low
188,Resume_3_Healthcare_Reporting_Analyst_skills,Remote_Clinical_Data_Analyst_parsed_jd,remote clinical data analyst,57.45,90,50,53,15,mid_level,Partial Fit,Review manually before deciding,Low
189,Resume_6_Data_Entry_Analyst_Healthcare_skills,ai specialist in healthcare analytics_parsed_jd,ai specialist in healthcare analytics,57.4,82,74,34,7,default,Partial Fit,Review manually before deciding,Low
190,Resume_1_Healthcare_Data_Analyst_Junior_skills,Healthcare_Data_Architect_parsed_jd,healthcare data architect,57.35,90,35,53,14,technical,Partial Fit,Review manually before deciding,Low
191,Amala_Resume_DS_DA_2026__skills,ai specialist in healthcare analytics_parsed_jd,ai specialist in healthcare analytics,57.3,90,60,36,12,default,Partial Fit,Review manually before deciding,Low
192,Resume_3_Healthcare_Reporting_Analyst_skills,Healthcare_Analytics_Manager_parsed_jd,healthcare analytics manager,57.3,90,56,53,13,senior,Partial Fit,Review manually before deciding,Low
193,Resume_6_Data_Entry_Analyst_Healthcare_skills,cost_utilization_analyst_healthcare_parsed_jd,cost & utilization analyst,57.3,82,69,34,14,default,Partial Fit,Review manually before deciding,Low
194,Resume_3_Healthcare_Reporting_Analyst_skills,Claims_Data_Analyst_Insurance_parsed_jd,claims data analyst,57.25,90,48,53,17,mid_level,Partial Fit,Review manually before deciding,Low
195,Resume_6_Data_Entry_Analyst_Healthcare_skills,Health_Information_Systems_Analyst_parsed_jd,health information systems analyst,57.2,82,70,34,12,default,Partial Fit,Review manually before deciding,Low
196,Resume_3_Healthcare_Reporting_Analyst_skills,Insurance_Claims_Analyst_parsed_jd,insurance claims analyst,57.15,90,47,53,18,default,Partial Fit,Review manually before deciding,Low
197,Resume_3_Healthcare_Reporting_Analyst_skills,Patient_Experience_Analyst_parsed_jd,patient experience analyst,57.15,90,47,53,18,default,Partial Fit,Review manually before deciding,Low
198,Resume_3_Healthcare_Reporting_Analyst_skills,Population_Health_Analyst_parsed_jd,population health analyst,57.15,90,53,53,9,default,Partial Fit,Review manually before deciding,Low
199,Resume_3_Healthcare_Reporting_Analyst_skills,cost_utilization_analyst_healthcare_parsed_jd,cost & utilization analyst,57.05,90,50,53,13,default,Partial Fit,Review manually before deciding,Low
200,Resume_5_Health_Information_Analyst_skills,Real-World Evidence (RWE) Analyst_parsed_jd,real world evidence (rwe) analyst,56.95,84,49,51,26,default,Partial Fit,Review manually before deciding,Low
201,Amala_Resume_DS_DA_2026__skills,Healthcare_Data_Architect_parsed_jd,healthcare data architect,56.8,90,42,36,11,technical,Partial Fit,Review manually before deciding,Low
202,Resume_1_Healthcare_Data_Analyst_Junior_skills,Clinical_Data_Scientist_parsed_jd,clinical data scientist,56.8,90,24,53,25,technical,Partial Fit,Review manually before deciding,Low
203,Resume_6_Data_Entry_Analyst_Healthcare_skills,Revenue_Cycle_Analyst_parsed_jd,revenue cycle data analyst,56.8,82,66,34,16,mid_level,Partial Fit,Review manually before deciding,Low
204,Amala_Resume_DS_DA_2026__skills,Healthcare_Dashboard_Developer_parsed_jd,healthcare dashboard developer,56.65,90,43,36,9,technical,Partial Fit,Review manually before deciding,Low
205,Resume_3_Healthcare_Reporting_Analyst_skills,Senior_Clinical_Data_Analyst_parsed_jd,senior clinical data analyst,56.65,90,48,53,14,mid_level,Partial Fit,Review manually before deciding,Low
206,Resume_5_Health_Information_Analyst_skills,Health_Information_Systems_Analyst_parsed_jd,health information systems analyst,56.65,84,50,51,23,default,Partial Fit,Review manually before deciding,Low
207,Resume_5_Health_Information_Analyst_skills,Healthcare_Data_Architect_parsed_jd,healthcare data architect,56.6,84,46,51,11,technical,Partial Fit,Review manually before deciding,Low
208,Resume_1_Healthcare_Data_Analyst_Junior_skills,Lead_Data_Analyst_Healthcare_parsed_jd,lead data analyst (healthcare),56.45,90,46,53,16,mid_level,Partial Fit,Review manually before deciding,Low
209,Resume_3_Healthcare_Reporting_Analyst_skills,fraud_compliance_analyst_parsed_jd,fraud & compliance analyst,56.45,90,50,53,10,default,Partial Fit,Review manually before deciding,Low
210,Resume_5_Health_Information_Analyst_skills,Clinical_Data_Scientist_parsed_jd,clinical data scientist,56.45,84,39,51,19,technical,Partial Fit,Review manually before deciding,Low
211,Resume_5_Health_Information_Analyst_skills,Healthcare_Machine_Learning_Engineer_parsed_jd,healthcare machine learning engineer,56.3,84,52,51,2,technical,Partial Fit,Review manually before deciding,Low
212,Resume_5_Health_Information_Analyst_skills,Healthcare_Dashboard_Developer_parsed_jd,healthcare dashboard developer,56.2,84,46,51,9,technical,Partial Fit,Review manually before deciding,Low
213,Resume_6_Data_Entry_Analyst_Healthcare_skills,EHR_Implementation_Analyst_parsed_jd,ehr implementation analyst,56.2,82,71,34,23,non_tech,Partial Fit,Review manually before deciding,Low
214,Resume_3_Healthcare_Reporting_Analyst_skills,Healthcare_Data_Science_Manager_parsed_jd,healthcare data science manager,56.1,90,56,53,7,senior,Partial Fit,Review manually before deciding,Low
215,Resume_6_Data_Entry_Analyst_Healthcare_skills,Chief_Data_Officer_Healthcare_parsed_jd,chief data officer,56.1,82,67,34,11,default,Partial Fit,Review manually before deciding,Low
216,Resume_1_Healthcare_Data_Analyst_Junior_skills,Healthcare_Data_Integration_Specialist_parsed_jd,healthcare data integration specialist,55.95,90,41,53,21,default,Partial Fit,Review manually before deciding,Low
217,Resume_3_Healthcare_Reporting_Analyst_skills,Epidemiology_Data_Analyst_parsed_jd,epidemiology data analyst,55.85,90,50,53,7,mid_level,Partial Fit,Review manually before deciding,Low
218,Resume_6_Data_Entry_Analyst_Healthcare_skills,Data_Entry_Analyst_Healthcare_parsed_jd,data entry analyst (healthcare),55.8,82,100,34,26,fresher,Partial Fit,Review manually before deciding,Low
219,Resume_5_Health_Information_Analyst_skills,Healthcare_Business_Analyst_parsed_jd,healthcare business analyst,55.75,84,45,51,26,mid_level,Partial Fit,Review manually before deciding,Low
220,Amala_Resume_DS_DA_2026__skills,healthcare data analyst (junior)_parsed_jd,healthcare data analyst (junior),55.6,90,47,36,23,mid_level,Partial Fit,Review manually before deciding,Low
221,Resume_3_Healthcare_Reporting_Analyst_skills,Genomics_Data_Analyst_parsed_jd,genomics data analyst,55.55,90,47,53,10,mid_level,Partial Fit,Review manually before deciding,Low
222,Amala_Resume_DS_DA_2026__skills,Healthcare_Data_Science_Manager_parsed_jd,healthcare data science manager,55.4,90,47,36,30,senior,Partial Fit,Review manually before deciding,Low
223,Resume_5_Health_Information_Analyst_skills,Global_Health_Data_Analyst_parsed_jd,global health data analyst,55.25,84,48,51,19,mid_level,Partial Fit,Review manually before deciding,Low
224,Resume_5_Health_Information_Analyst_skills,Wearable_Health_Data_Analyst_parsed_jd,wearable health data analyst,55.25,84,48,51,19,mid_level,Partial Fit,Review manually before deciding,Low
225,Amala_Resume_DS_DA_2026__skills,Predictive_Analytics_Specialist_parsed_jd,predictive analytics specialist,55.2,90,39,36,33,default,Partial Fit,Review manually before deciding,Low
226,Resume_1_Healthcare_Data_Analyst_Junior_skills,EHR_Data_Analyst_Electronic_Health_parsed_jd,ehr data analyst,55.15,90,37,53,23,mid_level,Partial Fit,Review manually before deciding,Low
227,Amala_Resume_DS_DA_2026__skills,Healthcare_AI_Analyst_parsed_jd,healthcare ai analyst,55.1,90,42,36,28,default,Partial Fit,Review manually before deciding,Low
228,Resume_5_Health_Information_Analyst_skills,Head_of_Health_Informatics_parsed_jd,head of health informatics,55.1,84,47,51,30,senior,Partial Fit,Review manually before deciding,Low
229,Resume_3_Healthcare_Reporting_Analyst_skills,Clinical_Informatics_Analyst_parsed_jd,clinical informatics analyst,55.05,90,44,53,12,default,Partial Fit,Review manually before deciding,Low
230,Resume_3_Healthcare_Reporting_Analyst_skills,epidemiologist_datafocused_parsed_jd,epidemiologist,55.05,90,48,53,6,default,Partial Fit,Review manually before deciding,Low
231,Resume_1_Healthcare_Data_Analyst_Junior_skills,Healthcare_Reporting_Analyst_parsed_jd,healthcare reporting analyst,54.95,90,39,53,19,default,Partial Fit,Review manually before deciding,Low
232,Resume_5_Health_Information_Analyst_skills,Remote_Clinical_Data_Analyst_parsed_jd,remote clinical data analyst,54.95,84,45,51,22,mid_level,Partial Fit,Review manually before deciding,Low
233,Resume_5_Health_Information_Analyst_skills,Healthcare_Financial_Analyst_parsed_jd,healthcare financial analyst,54.85,84,54,51,8,default,Partial Fit,Review manually before deciding,Low
234,Resume_1_Healthcare_Data_Analyst_Junior_skills,Healthcare_Machine_Learning_Engineer_parsed_jd,healthcare machine learning engineer,54.8,90,28,53,10,technical,Partial Fit,Review manually before deciding,Low
235,Resume_4_Medical_Data_Analyst_skills,Clinical_Data_Scientist_parsed_jd,clinical data scientist,54.8,90,14,46,31,technical,Partial Fit,Review manually before deciding,Low
236,Resume_1_Healthcare_Data_Analyst_Junior_skills,Health_Information_Systems_Analyst_parsed_jd,health information systems analyst,54.75,90,41,53,15,default,Partial Fit,Review manually before deciding,Low
237,Resume_1_Healthcare_Data_Analyst_Junior_skills,Healthcare_Financial_Analyst_parsed_jd,healthcare financial analyst,54.75,90,39,53,18,default,Partial Fit,Review manually before deciding,Low
238,Resume_3_Healthcare_Reporting_Analyst_skills,healthcare_statistician_biostatistician_parsed_jd,healthcare statistician,54.75,90,45,53,9,default,Partial Fit,Review manually before deciding,Low
239,Resume_1_Healthcare_Data_Analyst_Junior_skills,Healthcare_Outcomes_Analyst_parsed_jd,healthcare outcomes analyst,54.65,90,38,53,19,default,Partial Fit,Review manually before deciding,Low
240,Resume_3_Healthcare_Reporting_Analyst_skills,Chief_Data_Officer_Healthcare_parsed_jd,chief data officer,54.65,90,40,53,16,default,Partial Fit,Review manually before deciding,Low
241,Resume_5_Health_Information_Analyst_skills,Digital_Health_Analyst_parsed_jd,digital health analyst,54.65,84,46,51,19,default,Partial Fit,Review manually before deciding,Low
242,Resume_1_Healthcare_Data_Analyst_Junior_skills,Health_Information_Analyst_parsed_jd,health information analyst,54.55,90,35,53,23,default,Partial Fit,Review manually before deciding,Low
243,Resume_6_Data_Entry_Analyst_Healthcare_skills,epidemiologist_datafocused_parsed_jd,epidemiologist,54.5,82,63,34,9,default,Partial Fit,Review manually before deciding,Low
244,Resume_1_Healthcare_Data_Analyst_Junior_skills,Clinical_Data_Analyst_parsed_jd,clinical data analyst,54.45,90,34,53,24,mid_level,Partial Fit,Review manually before deciding,Low
245,Resume_1_Healthcare_Data_Analyst_Junior_skills,Healthcare_Program_Analyst_parsed_jd,healthcare program analyst,54.45,90,38,53,18,default,Partial Fit,Review manually before deciding,Low
246,Resume_1_Healthcare_Data_Analyst_Junior_skills,Senior_Clinical_Data_Analyst_parsed_jd,senior clinical data analyst,54.45,90,32,53,27,mid_level,Partial Fit,Review manually before deciding,Low
247,Resume_1_Healthcare_Data_Analyst_Junior_skills,Telehealth_Data_Analyst_parsed_jd,telehealth data analyst,54.45,90,38,53,18,mid_level,Partial Fit,Review manually before deciding,Low
248,Resume_5_Health_Information_Analyst_skills,Health_Policy_Analyst_parsed_jd,health policy analyst,54.45,84,50,51,12,default,Partial Fit,Review manually before deciding,Low
249,Resume_5_Health_Information_Analyst_skills,healthcare data analyst (junior)_parsed_jd,healthcare data analyst (junior),54.35,84,51,51,10,mid_level,Partial Fit,Review manually before deciding,Low
250,Resume_1_Healthcare_Data_Analyst_Junior_skills,Healthcare_Performance_Analyst_parsed_jd,healthcare performance analyst,54.25,90,36,53,20,default,Partial Fit,Review manually before deciding,Low
251,Resume_5_Health_Information_Analyst_skills,Data_Entry_Analyst_Healthcare_parsed_jd,data entry analyst (healthcare),54.25,84,48,51,11,fresher,Partial Fit,Review manually before deciding,Low
252,Resume_5_Health_Information_Analyst_skills,Healthcare_Program_Analyst_parsed_jd,healthcare program analyst,54.15,84,51,51,9,default,Partial Fit,Review manually before deciding,Low
253,Resume_5_Health_Information_Analyst_skills,Lead_Data_Analyst_Healthcare_parsed_jd,lead data analyst (healthcare),54.15,84,51,51,9,mid_level,Partial Fit,Review manually before deciding,Low
254,Resume_1_Healthcare_Data_Analyst_Junior_skills,Healthcare_Operations_Analyst_parsed_jd,healthcare operations analyst,54.05,90,38,53,16,default,Partial Fit,Review manually before deciding,Low
255,Resume_1_Healthcare_Data_Analyst_Junior_skills,Public_Health_Analyst_parsed_jd,public health analyst,54.05,90,30,53,28,default,Partial Fit,Review manually before deciding,Low
256,Resume_5_Health_Information_Analyst_skills,Clinical_Informatics_Analyst_parsed_jd,clinical informatics analyst,54.05,84,38,51,28,default,Partial Fit,Review manually before deciding,Low
257,Resume_5_Health_Information_Analyst_skills,Healthcare_Reporting_Analyst_parsed_jd,healthcare reporting analyst,54.05,84,52,51,7,default,Partial Fit,Review manually before deciding,Low
258,Resume_1_Healthcare_Data_Analyst_Junior_skills,Remote_Clinical_Data_Analyst_parsed_jd,remote clinical data analyst,53.95,90,31,53,26,mid_level,Partial Fit,Review manually before deciding,Low
259,Amala_Resume_DS_DA_2026__skills,Chief_Data_Officer_Healthcare_parsed_jd,chief data officer,53.8,90,51,36,8,default,Partial Fit,Review manually before deciding,Low
260,Resume_5_Health_Information_Analyst_skills,Healthcare_Performance_Analyst_parsed_jd,healthcare performance analyst,53.75,84,51,51,7,default,Partial Fit,Review manually before deciding,Low
261,Resume_5_Health_Information_Analyst_skills,Senior_Clinical_Data_Analyst_parsed_jd,senior clinical data analyst,53.75,84,43,51,19,mid_level,Partial Fit,Review manually before deciding,Low
262,Amala_Resume_DS_DA_2026__skills,Senior_Healthcare_Data_Analyst_parsed_jd,senior healthcare data analyst,53.7,90,42,36,21,mid_level,Partial Fit,Review manually before deciding,Low
263,Resume_1_Healthcare_Data_Analyst_Junior_skills,Digital_Health_Analyst_parsed_jd,digital health analyst,53.65,90,34,53,20,default,Partial Fit,Review manually before deciding,Low
264,Resume_1_Healthcare_Data_Analyst_Junior_skills,Healthcare_AI_Analyst_parsed_jd,healthcare ai analyst,53.65,90,42,53,8,default,Partial Fit,Review manually before deciding,Low
265,Resume_1_Healthcare_Data_Analyst_Junior_skills,Healthcare_Business_Analyst_parsed_jd,healthcare business analyst,53.65,90,36,53,17,mid_level,Partial Fit,Review manually before deciding,Low
266,Resume_4_Medical_Data_Analyst_skills,Healthcare_Data_Scientist_parsed_jd,healthcare data scientist,53.55,90,13,46,26,technical,Partial Fit,Review manually before deciding,Low
267,Resume_1_Healthcare_Data_Analyst_Junior_skills,Genomics_Data_Analyst_parsed_jd,genomics data analyst,53.45,90,32,53,22,mid_level,Partial Fit,Review manually before deciding,Low
268,Resume_1_Healthcare_Data_Analyst_Junior_skills,Insurance_Claims_Analyst_parsed_jd,insurance claims analyst,53.45,90,36,53,16,default,Partial Fit,Review manually before deciding,Low
269,Resume_1_Healthcare_Data_Analyst_Junior_skills,quality improvement analyst (healthcare)_parsed_jd,quality improvement analyst (healthcare),53.45,90,40,53,10,default,Partial Fit,Review manually before deciding,Low
270,Resume_5_Health_Information_Analyst_skills,Healthcare_Operations_Analyst_parsed_jd,healthcare operations analyst,53.45,84,50,51,7,default,Partial Fit,Review manually before deciding,Low
271,Resume_5_Health_Information_Analyst_skills,public_health_data_analyst_entrylevel_parsed_jd,public health data analyst (entry-level),53.45,84,46,51,13,mid_level,Partial Fit,Review manually before deciding,Low
272,Resume_1_Healthcare_Data_Analyst_Junior_skills,Data_Analytics_Trainer_Healthcare_parsed_jd,data analytics trainer,53.35,90,27,53,29,default,Partial Fit,Review manually before deciding,Low
273,Resume_5_Health_Information_Analyst_skills,fraud_compliance_analyst_parsed_jd,fraud & compliance analyst,53.35,84,43,51,17,default,Partial Fit,Review manually before deciding,Low
274,Amala_Resume_DS_DA_2026__skills,Genomics_Data_Analyst_parsed_jd,genomics data analyst,53.3,90,42,36,19,mid_level,Partial Fit,Review manually before deciding,Low
275,Resume_6_Data_Entry_Analyst_Healthcare_skills,healthcare_statistician_biostatistician_parsed_jd,healthcare statistician,53.3,82,57,34,12,default,Partial Fit,Review manually before deciding,Low
276,Resume_1_Healthcare_Data_Analyst_Junior_skills,Healthcare_Risk_Analyst_parsed_jd,healthcare risk analyst,53.25,90,38,53,12,default,Partial Fit,Review manually before deciding,Low
277,Resume_1_Healthcare_Data_Analyst_Junior_skills,Population_Health_Analyst_parsed_jd,population health analyst,53.25,90,34,53,18,default,Partial Fit,Review manually before deciding,Low
278,Resume_5_Health_Information_Analyst_skills,Clinical_Data_Analyst_parsed_jd,clinical data analyst,53.25,84,42,51,18,mid_level,Partial Fit,Review manually before deciding,Low
279,Resume_5_Health_Information_Analyst_skills,Medical_Data_Analyst_parsed_jd,medical data analyst,53.25,84,48,51,9,mid_level,Partial Fit,Review manually before deciding,Low
280,Resume_5_Health_Information_Analyst_skills,Senior_Healthcare_Data_Analyst_parsed_jd,senior healthcare data analyst,53.25,84,48,51,9,mid_level,Partial Fit,Review manually before deciding,Low
281,Resume_1_Healthcare_Data_Analyst_Junior_skills,Health_Policy_Analyst_parsed_jd,health policy analyst,53.15,90,37,53,13,default,Partial Fit,Review manually before deciding,Low
282,Amala_Resume_DS_DA_2026__skills,Public_Health_Analyst_parsed_jd,public health analyst,53.1,90,42,36,18,default,Partial Fit,Review manually before deciding,Low
283,Amala_Resume_DS_DA_2026__skills,Real-World Evidence (RWE) Analyst_parsed_jd,real world evidence (rwe) analyst,53.1,90,44,36,15,default,Partial Fit,Review manually before deciding,Low
284,Resume_6_Data_Entry_Analyst_Healthcare_skills,Biostatistician_parsed_jd,biostatistician,53.1,82,61,34,5,default,Partial Fit,Review manually before deciding,Low
285,Resume_1_Healthcare_Data_Analyst_Junior_skills,Healthcare BI (Business Intelligence) Analyst_parsed_jd,healthcare bi (business intelligence) analyst,53.05,90,36,53,14,default,Partial Fit,Review manually before deciding,Low
286,Amala_Resume_DS_DA_2026__skills,Healthcare_Operations_Analyst_parsed_jd,healthcare operations analyst,53.0,90,49,36,7,default,Partial Fit,Review manually before deciding,Low
287,Amala_Resume_DS_DA_2026__skills,Lead_Data_Analyst_Healthcare_parsed_jd,lead data analyst (healthcare),53.0,90,47,36,10,mid_level,Partial Fit,Review manually before deciding,Low
288,Resume_5_Health_Information_Analyst_skills,EHR_Implementation_Analyst_parsed_jd,ehr implementation analyst,53.0,84,44,51,42,non_tech,Partial Fit,Review manually before deciding,Low
289,Resume_1_Healthcare_Data_Analyst_Junior_skills,Health_Informatics_Specialist_parsed_jd,health informatics specialist,52.95,90,33,53,18,default,Partial Fit,Review manually before deciding,Low
290,Resume_1_Healthcare_Data_Analyst_Junior_skills,Healthcare_Analytics_Consultant_parsed_jd,healthcare analytics consultant,52.95,90,37,53,12,default,Partial Fit,Review manually before deciding,Low
291,Resume_5_Health_Information_Analyst_skills,Healthcare_Risk_Analyst_parsed_jd,healthcare risk analyst,52.95,84,49,51,6,default,Partial Fit,Review manually before deciding,Low
292,Resume_5_Health_Information_Analyst_skills,Telehealth_Data_Analyst_parsed_jd,telehealth data analyst,52.95,84,47,51,9,mid_level,Partial Fit,Review manually before deciding,Low
293,Amala_Resume_DS_DA_2026__skills,Epidemiology_Data_Analyst_parsed_jd,epidemiology data analyst,52.9,90,44,36,14,mid_level,Partial Fit,Review manually before deciding,Low
